C:\Users\user\AppData\Local\Temp\RenderDoc\python_2026.03.11_20.35.51_capture.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
804   |   - Dispatch(2048, 1, 1)                       | 95     | 160.625
813   |   - Dispatch(1024, 1, 1)                       | 96     | 200.41667
822   |   - Dispatch(1024, 1, 1)                       | 97     | 96.71875
831   |   - Dispatch(512, 2, 1)                        | 98     | 42.03125
840   |   - Dispatch(288, 32, 1)                       | 99     | 45034.27083
849   |   - Dispatch(32, 1, 1)                         | 100    | 67.08333
858   |   - Dispatch(128, 5, 1)                        | 101    | 984.47917
867   |   - Dispatch(1024, 1, 1)                       | 102    | 365.9375
876   |   - Dispatch(1024, 1, 1)                       | 103    | 77.34375
885   |   - Dispatch(512, 2, 1)                        | 104    | 26.30208
894   |   - Dispatch(54, 2, 1)                         | 105    | 8101.77083
903   |   - Dispatch(32, 1, 1)                         | 106    | 24.58333
912   |   - Dispatch(128, 14, 1)                       | 107    | 2548.48958
921   |   - Dispatch(3072, 1, 1)                       | 108    | 1671.25
930   |   - Dispatch(2048, 1, 1)                       | 109    | 83.38542
939   |   - Dispatch(1024, 1, 1)                       | 110    | 46.92708
948   |   - Dispatch(512, 1, 1)                        | 111    | 46.97917
957   |   - Dispatch(512, 1, 1)                        | 112    | 34.73958
966   |   - Dispatch(128, 4, 1)                        | 113    | 18.69792
975   |   - Dispatch(9, 1, 1)                          | 114    | 1083.85417
984   |   - Dispatch(64, 1, 1)                         | 115    | 16.30208
993   |   - Dispatch(32, 9, 1)                         | 116    | 844.375
1002  |   - Dispatch(512, 1, 1)                        | 117    | 154.01042
1011  |   - Dispatch(512, 1, 1)                        | 118    | 39.47917
1020  |   - Dispatch(128, 4, 1)                        | 119    | 17.70833
1029  |   - Dispatch(27, 1, 1)                         | 120    | 2860.20833
1038  |   - Dispatch(64, 1, 1)                         | 121    | 15.98958
1047  |   - Dispatch(32, 27, 1)                        | 122    | 2754.73958
1056  |   - Dispatch(1536, 1, 1)                       | 123    | 717.13542
1065  |   - Dispatch(1024, 1, 1)                       | 124    | 51.51042
1074  |   - Dispatch(512, 1, 1)                        | 125    | 30.72917
1083  |   - Dispatch(256, 1, 1)                        | 126    | 24.63542
1092  |   - Dispatch(256, 1, 1)                        | 127    | 31.82292
1101  |   - Dispatch(32, 8, 1)                         | 128    | 13.75
1110  |   - Dispatch(18, 2, 1)                         | 129    | 1012.34375
1119  |   - Dispatch(128, 1, 1)                        | 130    | 16.51042
1128  |   - Dispatch(8, 18, 1)                         | 131    | 878.17708
1137  |   - Dispatch(256, 1, 1)                        | 132    | 85.36458
1146  |   - Dispatch(256, 1, 1)                        | 133    | 22.8125
1155  |   - Dispatch(32, 8, 1)                         | 134    | 16.61458
1164  |   - Dispatch(9, 2, 1)                          | 135    | 519.11458
1173  |   - Dispatch(128, 1, 1)                        | 136    | 15.98958
1182  |   - Dispatch(8, 9, 1)                          | 137    | 476.14583
1191  |   - Dispatch(128, 1, 1)                        | 138    | 46.875
1194  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 139    | 30.3125
1714  | - Compute Pass #2                              | 140-153 | 3920.57292
1201  |  \- Dispatch(1, 1, 128)                        | 140    | 22.55208
1210  |   - Dispatch(512, 1, 1)                        | 141    | 28.59375
1219  |   - Dispatch(512, 1, 1)                        | 142    | 30.00
1228  |   - Dispatch(128, 4, 1)                        | 143    | 17.55208
1237  |   - Dispatch(9, 1, 1)                          | 144    | 1035.625
1246  |   - Dispatch(64, 1, 1)                         | 145    | 16.40625
1255  |   - Dispatch(32, 9, 1)                         | 146    | 928.85417
1264  |   - Dispatch(512, 1, 1)                        | 147    | 175.3125
1273  |   - Dispatch(512, 1, 1)                        | 148    | 38.28125
1282  |   - Dispatch(128, 4, 1)                        | 149    | 18.17708
1291  |   - Dispatch(5, 1, 1)                          | 150    | 1035.625
1300  |   - Dispatch(64, 1, 1)                         | 151    | 16.61458
1309  |   - Dispatch(32, 5, 1)                         | 152    | 460.3125
1318  |   - Dispatch(256, 1, 1)                        | 153    | 96.66667
1321  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 154    | 45.78125
1715  | - Compute Pass #3                              | 155-168 | 86093.54167
1328  |  \- Dispatch(2, 2, 64)                         | 155    | 26.82292
1337  |   - Dispatch(1024, 1, 1)                       | 156    | 59.89583
1346  |   - Dispatch(1024, 1, 1)                       | 157    | 62.60417
1355  |   - Dispatch(512, 2, 1)                        | 158    | 31.51042
1364  |   - Dispatch(288, 32, 1)                       | 159    | 65253.95833
1373  |   - Dispatch(32, 1, 1)                         | 160    | 59.58333
1382  |   - Dispatch(128, 5, 1)                        | 161    | 952.65625
1391  |   - Dispatch(1024, 1, 1)                       | 162    | 330.36458
1400  |   - Dispatch(1024, 1, 1)                       | 163    | 82.29167
1409  |   - Dispatch(512, 2, 1)                        | 164    | 29.32292
1418  |   - Dispatch(144, 32, 1)                       | 165    | 18454.84375
1427  |   - Dispatch(32, 1, 1)                         | 166    | 29.11458
1436  |   - Dispatch(128, 3, 1)                        | 167    | 544.375
1445  |   - Dispatch(512, 1, 1)                        | 168    | 176.19792
1448  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 169    | 73.69792
1716  | - Compute Pass #4                              | 170-211 | 87949.16667
1455  |  \- Dispatch(4, 4, 32)                         | 170    | 49.0625
1464  |   - Dispatch(2048, 1, 1)                       | 171    | 148.4375
1473  |   - Dispatch(2048, 1, 1)                       | 172    | 173.33333
1482  |   - Dispatch(2048, 1, 1)                       | 173    | 64.58333
1491  |   - Dispatch(144, 16, 1)                       | 174    | 73973.85417
1500  |   - Dispatch(16, 1, 1)                         | 175    | 73.28125
1509  |   - Dispatch(512, 3, 1)                        | 176    | 2269.32292
1518  |   - Dispatch(2048, 1, 1)                       | 177    | 934.16667
1527  |   - Dispatch(2048, 1, 1)                       | 178    | 180.20833
1536  |   - Dispatch(2048, 1, 1)                       | 179    | 57.1875
1545  |   - Dispatch(27, 16, 1)                        | 180    | 9531.92708
1554  |   - Dispatch(16, 1, 1)                         | 181    | 65.9375
1563  |   - Dispatch(2, 1, 1)                          | 182    | 8.69792
1568  |   - Dispatch(1, 1, 1)                          | 183    | 11.82292
1573  |   - Dispatch(9, 1, 1)                          | 184    | 12.44792
1578  |   - Dispatch(1, 1, 1)                          | 185    | 7.39583
1583  |   - Dispatch(18, 1, 1)                         | 186    | 9.21875
1588  |   - Dispatch(1, 1, 1)                          | 187    | 10.625
1593  |   - Dispatch(36, 1, 1)                         | 188    | 11.35417
1598  |   - Dispatch(1, 1, 1)                          | 189    | 7.23958
1603  |   - Dispatch(72, 1, 1)                         | 190    | 13.125
1608  |   - Dispatch(1, 1, 1)                          | 191    | 8.125
1613  |   - Dispatch(144, 1, 1)                        | 192    | 24.84375
1618  |   - Dispatch(1, 1, 1)                          | 193    | 10.98958
1623  |   - Dispatch(288, 1, 1)                        | 194    | 32.03125
1628  |   - Dispatch(1, 1, 1)                          | 195    | 8.4375
1633  |   - Dispatch(576, 1, 1)                        | 196    | 61.04167
1638  |   - Dispatch(1, 1, 1)                          | 197    | 7.96875
