C:\Users\user\AppData\Local\Temp\RenderDoc\python_2026.03.11_20.27.32_capture.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
804   |   - Dispatch(2048, 1, 1)                       | 95     | 150.72917
813   |   - Dispatch(1024, 1, 1)                       | 96     | 212.08333
822   |   - Dispatch(1024, 1, 1)                       | 97     | 67.91667
831   |   - Dispatch(512, 2, 1)                        | 98     | 28.02083
840   |   - Dispatch(18, 2, 1)                         | 99     | 3536.19792
849   |   - Dispatch(32, 1, 1)                         | 100    | 29.6875
858   |   - Dispatch(128, 5, 1)                        | 101    | 894.375
867   |   - Dispatch(1024, 1, 1)                       | 102    | 394.16667
876   |   - Dispatch(1024, 1, 1)                       | 103    | 70.20833
885   |   - Dispatch(512, 2, 1)                        | 104    | 28.07292
894   |   - Dispatch(54, 2, 1)                         | 105    | 8815.57292
903   |   - Dispatch(32, 1, 1)                         | 106    | 61.66667
912   |   - Dispatch(128, 14, 1)                       | 107    | 2694.16667
921   |   - Dispatch(3072, 1, 1)                       | 108    | 1672.55208
930   |   - Dispatch(2048, 1, 1)                       | 109    | 89.32292
939   |   - Dispatch(1024, 1, 1)                       | 110    | 52.34375
948   |   - Dispatch(512, 1, 1)                        | 111    | 50.20833
957   |   - Dispatch(512, 1, 1)                        | 112    | 34.58333
966   |   - Dispatch(128, 4, 1)                        | 113    | 21.66667
975   |   - Dispatch(9, 1, 1)                          | 114    | 1057.1875
984   |   - Dispatch(64, 1, 1)                         | 115    | 16.61458
993   |   - Dispatch(32, 9, 1)                         | 116    | 848.33333
1002  |   - Dispatch(512, 1, 1)                        | 117    | 150.98958
1011  |   - Dispatch(512, 1, 1)                        | 118    | 31.66667
1020  |   - Dispatch(128, 4, 1)                        | 119    | 20.83333
1029  |   - Dispatch(27, 1, 1)                         | 120    | 2989.0625
1038  |   - Dispatch(64, 1, 1)                         | 121    | 21.04167
1047  |   - Dispatch(32, 27, 1)                        | 122    | 2386.77083
1056  |   - Dispatch(1536, 1, 1)                       | 123    | 762.03125
1065  |   - Dispatch(1024, 1, 1)                       | 124    | 47.34375
1074  |   - Dispatch(512, 1, 1)                        | 125    | 28.125
1083  |   - Dispatch(256, 1, 1)                        | 126    | 29.375
1092  |   - Dispatch(256, 1, 1)                        | 127    | 25.98958
1101  |   - Dispatch(32, 8, 1)                         | 128    | 18.80208
1110  |   - Dispatch(18, 2, 1)                         | 129    | 1038.07292
1119  |   - Dispatch(128, 1, 1)                        | 130    | 25.36458
1128  |   - Dispatch(8, 18, 1)                         | 131    | 948.4375
1137  |   - Dispatch(256, 1, 1)                        | 132    | 86.51042
1146  |   - Dispatch(256, 1, 1)                        | 133    | 24.79167
1155  |   - Dispatch(32, 8, 1)                         | 134    | 13.48958
1164  |   - Dispatch(9, 2, 1)                          | 135    | 577.70833
1173  |   - Dispatch(128, 1, 1)                        | 136    | 16.77083
1182  |   - Dispatch(8, 9, 1)                          | 137    | 496.30208
1191  |   - Dispatch(128, 1, 1)                        | 138    | 50.20833
1194  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 139    | 29.73958
1714  | - Compute Pass #2                              | 140-153 | 3767.34375
1201  |  \- Dispatch(1, 1, 128)                        | 140    | 18.22917
1210  |   - Dispatch(512, 1, 1)                        | 141    | 34.6875
1219  |   - Dispatch(512, 1, 1)                        | 142    | 34.53125
1228  |   - Dispatch(128, 4, 1)                        | 143    | 21.92708
1237  |   - Dispatch(9, 1, 1)                          | 144    | 1031.14583
1246  |   - Dispatch(64, 1, 1)                         | 145    | 15.83333
1255  |   - Dispatch(32, 9, 1)                         | 146    | 845.00
1264  |   - Dispatch(512, 1, 1)                        | 147    | 150.52083
1273  |   - Dispatch(512, 1, 1)                        | 148    | 33.48958
1282  |   - Dispatch(128, 4, 1)                        | 149    | 22.08333
1291  |   - Dispatch(5, 1, 1)                          | 150    | 988.85417
1300  |   - Dispatch(64, 1, 1)                         | 151    | 17.23958
1309  |   - Dispatch(32, 5, 1)                         | 152    | 475.36458
1318  |   - Dispatch(256, 1, 1)                        | 153    | 78.4375
1321  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 154    | 45.20833
1715  | - Compute Pass #3                              | 155-168 | 7238.59375
1328  |  \- Dispatch(2, 2, 64)                         | 155    | 29.53125
1337  |   - Dispatch(1024, 1, 1)                       | 156    | 60.9375
1346  |   - Dispatch(1024, 1, 1)                       | 157    | 69.42708
1355  |   - Dispatch(512, 2, 1)                        | 158    | 31.71875
1364  |   - Dispatch(18, 2, 1)                         | 159    | 3358.59375
1373  |   - Dispatch(32, 1, 1)                         | 160    | 25.3125
1382  |   - Dispatch(128, 5, 1)                        | 161    | 906.09375
1391  |   - Dispatch(1024, 1, 1)                       | 162    | 356.875
1400  |   - Dispatch(1024, 1, 1)                       | 163    | 62.34375
1409  |   - Dispatch(512, 2, 1)                        | 164    | 27.29167
1418  |   - Dispatch(9, 2, 1)                          | 165    | 1521.25
1427  |   - Dispatch(32, 1, 1)                         | 166    | 26.875
1436  |   - Dispatch(128, 3, 1)                        | 167    | 576.35417
1445  |   - Dispatch(512, 1, 1)                        | 168    | 185.98958
1448  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 169    | 89.79167
1716  | - Compute Pass #4                              | 170-211 | 21566.875
1455  |  \- Dispatch(4, 4, 32)                         | 170    | 100.3125
1464  |   - Dispatch(2048, 1, 1)                       | 171    | 137.03125
1473  |   - Dispatch(2048, 1, 1)                       | 172    | 159.58333
1482  |   - Dispatch(2048, 1, 1)                       | 173    | 63.125
1491  |   - Dispatch(9, 1, 1)                          | 174    | 6482.96875
1500  |   - Dispatch(16, 1, 1)                         | 175    | 81.25
1509  |   - Dispatch(512, 3, 1)                        | 176    | 2165.9375
1518  |   - Dispatch(2048, 1, 1)                       | 177    | 1029.01042
1527  |   - Dispatch(2048, 1, 1)                       | 178    | 183.125
1536  |   - Dispatch(2048, 1, 1)                       | 179    | 67.03125
1545  |   - Dispatch(27, 16, 1)                        | 180    | 10541.875
1554  |   - Dispatch(16, 1, 1)                         | 181    | 88.02083
1563  |   - Dispatch(2, 1, 1)                          | 182    | 8.75
1568  |   - Dispatch(1, 1, 1)                          | 183    | 7.91667
1573  |   - Dispatch(9, 1, 1)                          | 184    | 24.53125
1578  |   - Dispatch(1, 1, 1)                          | 185    | 7.60417
1583  |   - Dispatch(18, 1, 1)                         | 186    | 9.6875
1588  |   - Dispatch(1, 1, 1)                          | 187    | 7.03125
1593  |   - Dispatch(36, 1, 1)                         | 188    | 10.46875
1598  |   - Dispatch(1, 1, 1)                          | 189    | 6.82292
1603  |   - Dispatch(72, 1, 1)                         | 190    | 14.32292
1608  |   - Dispatch(1, 1, 1)                          | 191    | 7.76042
1613  |   - Dispatch(144, 1, 1)                        | 192    | 25.15625
1618  |   - Dispatch(1, 1, 1)                          | 193    | 10.78125
1623  |   - Dispatch(288, 1, 1)                        | 194    | 40.05208
1628  |   - Dispatch(1, 1, 1)                          | 195    | 8.17708
1633  |   - Dispatch(576, 1, 1)                        | 196    | 74.21875
1638  |   - Dispatch(1, 1, 1)                          | 197    | 8.28125
1643  |   - Dispatch(432, 1, 1)                        | 198    | 53.75
1648  |   - Dispatch(1, 1, 1)                          | 199    | 7.60417
1653  |   - Dispatch(144, 1, 1)                        | 200    | 26.19792
1658  |   - Dispatch(1, 1, 1)                          | 201    | 12.86458
1663  |   - Dispatch(108, 1, 1)                        | 202    | 22.44792
1668  |   - Dispatch(1, 1, 1)                          | 203    | 8.125
1673  |   - Dispatch(36, 1, 1)                         | 204    | 10.26042
1678  |   - Dispatch(1, 1, 1)                          | 205    | 7.55208
1683  |   - Dispatch(27, 1, 1)                         | 206    | 9.58333
1688  |   - Dispatch(1, 1, 1)                          | 207    | 8.33333
1693  |   - Dispatch(9, 1, 1)                          | 208    | 7.34375
1698  |   - Dispatch(1, 1, 1)                          | 209    | 7.44792
1703  |   - Dispatch(1, 1, 1)                          | 210    | 6.77083
1708  |   - Dispatch(1, 1, 1)                          | 211    | 7.76042
1712  | - End of Capture                               | 212    | 0.3125
