C:/Users/user/Documents/directx_exp/ss.rdc - Frame #4294967295

 EID  | Event                                          | Action # | Duration (Microseconds)
804   |   - Dispatch(2048, 1, 1)                       | 95     | 130.00
813   |   - Dispatch(1024, 1, 1)                       | 96     | 139.84375
822   |   - Dispatch(1024, 1, 1)                       | 97     | 75.88542
831   |   - Dispatch(512, 2, 1)                        | 98     | 36.04167
840   |   - Dispatch(18, 2, 1)                         | 99     | 3206.875
849   |   - Dispatch(32, 1, 1)                         | 100    | 26.5625
858   |   - Dispatch(128, 5, 1)                        | 101    | 887.34375
867   |   - Dispatch(1024, 1, 1)                       | 102    | 358.59375
876   |   - Dispatch(1024, 1, 1)                       | 103    | 68.80208
885   |   - Dispatch(512, 2, 1)                        | 104    | 42.96875
894   |   - Dispatch(54, 2, 1)                         | 105    | 7685.9375
903   |   - Dispatch(32, 1, 1)                         | 106    | 31.875
912   |   - Dispatch(128, 14, 1)                       | 107    | 2526.97917
921   |   - Dispatch(3072, 1, 1)                       | 108    | 1440.57292
930   |   - Dispatch(2048, 1, 1)                       | 109    | 105.9375
939   |   - Dispatch(1024, 1, 1)                       | 110    | 47.70833
948   |   - Dispatch(512, 1, 1)                        | 111    | 52.65625
957   |   - Dispatch(512, 1, 1)                        | 112    | 37.13542
966   |   - Dispatch(128, 4, 1)                        | 113    | 21.66667
975   |   - Dispatch(9, 1, 1)                          | 114    | 1077.70833
984   |   - Dispatch(64, 1, 1)                         | 115    | 16.45833
993   |   - Dispatch(32, 9, 1)                         | 116    | 851.82292
1002  |   - Dispatch(512, 1, 1)                        | 117    | 159.01042
1011  |   - Dispatch(512, 1, 1)                        | 118    | 36.51042
1020  |   - Dispatch(128, 4, 1)                        | 119    | 17.70833
1029  |   - Dispatch(27, 1, 1)                         | 120    | 2901.61458
1038  |   - Dispatch(64, 1, 1)                         | 121    | 16.97917
1047  |   - Dispatch(32, 27, 1)                        | 122    | 2459.79167
1056  |   - Dispatch(1536, 1, 1)                       | 123    | 822.70833
1065  |   - Dispatch(1024, 1, 1)                       | 124    | 48.4375
1074  |   - Dispatch(512, 1, 1)                        | 125    | 25.57292
1083  |   - Dispatch(256, 1, 1)                        | 126    | 30.05208
1092  |   - Dispatch(256, 1, 1)                        | 127    | 23.95833
1101  |   - Dispatch(32, 8, 1)                         | 128    | 13.75
1110  |   - Dispatch(18, 2, 1)                         | 129    | 1013.4375
1119  |   - Dispatch(128, 1, 1)                        | 130    | 17.03125
1128  |   - Dispatch(8, 18, 1)                         | 131    | 971.40625
1137  |   - Dispatch(256, 1, 1)                        | 132    | 87.50
1146  |   - Dispatch(256, 1, 1)                        | 133    | 26.09375
1155  |   - Dispatch(32, 8, 1)                         | 134    | 18.17708
1164  |   - Dispatch(9, 2, 1)                          | 135    | 614.375
1173  |   - Dispatch(128, 1, 1)                        | 136    | 21.09375
1182  |   - Dispatch(8, 9, 1)                          | 137    | 546.97917
1191  |   - Dispatch(128, 1, 1)                        | 138    | 59.84375
1194  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 139    | 25.26042
1803  | - Compute Pass #2                              | 140-153 | 4276.14583
1201  |  \- Dispatch(1, 1, 128)                        | 140    | 22.70833
1210  |   - Dispatch(512, 1, 1)                        | 141    | 37.60417
1219  |   - Dispatch(512, 1, 1)                        | 142    | 53.4375
1228  |   - Dispatch(128, 4, 1)                        | 143    | 17.86458
1237  |   - Dispatch(9, 1, 1)                          | 144    | 1139.79167
1246  |   - Dispatch(64, 1, 1)                         | 145    | 20.57292
1255  |   - Dispatch(32, 9, 1)                         | 146    | 886.97917
1264  |   - Dispatch(512, 1, 1)                        | 147    | 172.60417
1273  |   - Dispatch(512, 1, 1)                        | 148    | 79.42708
1282  |   - Dispatch(128, 4, 1)                        | 149    | 43.64583
1291  |   - Dispatch(5, 1, 1)                          | 150    | 1171.25
1300  |   - Dispatch(64, 1, 1)                         | 151    | 26.35417
1309  |   - Dispatch(32, 5, 1)                         | 152    | 507.96875
1318  |   - Dispatch(256, 1, 1)                        | 153    | 95.9375
1321  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 154    | 47.44792
1804  | - Compute Pass #3                              | 155-168 | 7930.26042
1328  |  \- Dispatch(2, 2, 64)                         | 155    | 31.51042
1337  |   - Dispatch(1024, 1, 1)                       | 156    | 72.60417
1346  |   - Dispatch(1024, 1, 1)                       | 157    | 100.20833
1355  |   - Dispatch(512, 2, 1)                        | 158    | 45.52083
1364  |   - Dispatch(18, 2, 1)                         | 159    | 3795.67708
1373  |   - Dispatch(32, 1, 1)                         | 160    | 60.98958
1382  |   - Dispatch(128, 5, 1)                        | 161    | 1040.72917
1391  |   - Dispatch(1024, 1, 1)                       | 162    | 447.60417
1400  |   - Dispatch(1024, 1, 1)                       | 163    | 76.09375
1409  |   - Dispatch(512, 2, 1)                        | 164    | 26.71875
1418  |   - Dispatch(9, 2, 1)                          | 165    | 1381.51042
1427  |   - Dispatch(32, 1, 1)                         | 166    | 33.17708
1436  |   - Dispatch(128, 3, 1)                        | 167    | 602.91667
1445  |   - Dispatch(512, 1, 1)                        | 168    | 215.00
1448  | - ClearUnorderedAccessViewUint({ 0, 0, 0, 0 }) | 169    | 102.29167
1805  | - Compute Pass #4                              | 170-241 | 19626.04167
1455  |  \- Dispatch(4, 4, 32)                         | 170    | 75.52083
1464  |   - Dispatch(2048, 1, 1)                       | 171    | 156.45833
1473  |   - Dispatch(2048, 1, 1)                       | 172    | 181.35417
1482  |   - Dispatch(2048, 1, 1)                       | 173    | 59.375
1491  |   - Dispatch(9, 1, 1)                          | 174    | 5455.88542
1500  |   - Dispatch(16, 1, 1)                         | 175    | 68.64583
1509  |   - Dispatch(512, 3, 1)                        | 176    | 2234.58333
1518  |   - Dispatch(2048, 1, 1)                       | 177    | 977.76042
1527  |   - Dispatch(2048, 1, 1)                       | 178    | 154.58333
1536  |   - Dispatch(2048, 1, 1)                       | 179    | 57.55208
1545  |   - Dispatch(27, 16, 1)                        | 180    | 9299.0625
1554  |   - Dispatch(16, 1, 1)                         | 181    | 62.34375
1558  |   - CopyResource(Buffer 603, Buffer 597)       | 182    | 6.25
1560  |   - CopyResource(Buffer 604, Buffer 600)       | 183    | 6.30208
1562  |   - CopyResource(Buffer 605, Buffer 585)       | 184    | 6.875
1564  |   - CopyResource(Buffer 604, Buffer 588)       | 185    | 6.35417
1566  |   - CopyResource(Buffer 606, Buffer 570)       | 186    | 7.39583
1568  |   - CopyResource(Buffer 607, Buffer 573)       | 187    | 6.25
1570  |   - CopyResource(Buffer 608, Buffer 558)       | 188    | 8.80208
1572  |   - CopyResource(Buffer 607, Buffer 561)       | 189    | 6.61458
1574  |   - CopyResource(Buffer 609, Buffer 543)       | 190    | 10.10417
1576  |   - CopyResource(Buffer 610, Buffer 546)       | 191    | 5.9375
1578  |   - CopyResource(Buffer 611, Buffer 531)       | 192    | 190.46875
1580  |   - CopyResource(Buffer 610, Buffer 534)       | 193    | 6.19792
1582  |   - CopyResource(Buffer 612, Buffer 513)       | 194    | 21.77083
1584  |   - CopyResource(Buffer 613, Buffer 516)       | 195    | 6.71875
1586  |   - CopyResource(Buffer 614, Buffer 498)       | 196    | 40.00
